A_var,A_org_id,A_descricao,v_code,B_match_vcode,B_match_desc,C_match_vcode,C_match_desc,v050_present_pop,v050_present_hh,agreement,majority_strength
RACACOR,11.61,Raca ou cor,V0309,V0309,Raça ou Cor,V0309,Raça ou Cor,Y,N,12/12_UNANIMOUS,HIGH
RADIO,9.28,Radio,V0220,V0220,Rádio,V0220,Rádio,Y,Y,12/12_UNANIMOUS,HIGH
RAPOSENF,11.62,Faixa de rend aposent/pensionista,V3604,V3604,Faixas de Rendimento de Aposentadoria e/ou Pensão,V3604,Faixas de Rendimento de Aposentadoria e/ou Pensão,Y,N,12/12_UNANIMOUS,HIGH
RAPOSENV,11.63,Valor rend aposent/pensionista,V0360,V0360,Rendimento Bruto de Aposentadoria e/ou Pensão,V0360,Rendimento Bruto de Aposentadoria e/ou Pensão,Y,N,12/12_UNANIMOUS,HIGH
RDOMICIV,9.29,Renda domiciliar,V2012,V2012,Rendimento Nominal Médio Mensal Domiciliar,V2012,Rendimento Nominal Médio Mensal Domiciliar,Y,Y,12/12_UNANIMOUS,HIGH
RDONOMIF,9.30,Faixa renda dom nominal,V2013,V2013,Faixas de Rendimento Nominal Médio Mensal Domiciliar,V2013,Faixas de Rendimento Nominal Médio Mensal Domiciliar,Y,Y,12/12_UNANIMOUS,HIGH
RDOREALF,9.31,Faixa renda dom real,V2014,V2014,Faixas de Rendimento Real Médio Mensal Domiciliar,V2014,Faixas de Rendimento Real Médio Mensal Domiciliar,Y,Y,12/12_UNANIMOUS,HIGH
RELIGIAO,11.64,Codigo da religiao,V0310,V0310,Religião,V0310,Religião,Y,N,12/12_UNANIMOUS,HIGH
RFACHCAF,10.3,Faixa renda casal nominal,V3044,V3044,Faixas de Renda do Casal,V3044,Faixas de Renda do Casal,Y,N,12/12_UNANIMOUS,HIGH
RFACHCAV,10.4,Renda casal,V3043,V3043,Renda do Casal,V3043,Renda do Casal,Y,N,12/12_UNANIMOUS,HIGH
RFAMILIV,10.5,Renda familiar,V3045,V3045,Rendimento Nominal Médio Mensal Familiar,V3045,Rendimento Nominal Médio Mensal Familiar,Y,N,12/12_UNANIMOUS,HIGH
RFANOMIF,10.6,Faixa renda familiar nominal,V3046,V3046,Faixas de Rendimento Nominal Médio Mensal Familiar,V3046,Faixas de Rendimento Nominal Médio Mensal Familiar,Y,N,12/12_UNANIMOUS,HIGH
